payout_id,influencer_id,basis,rate,orders,total_payout
p_out_125,inf_003,Order,0.08,1,52.0
p_out_126,inf_003,Order,0.08,1,64.0
p_out_127,inf_003,Order,0.08,1,64.0
p_out_128,inf_003,Order,0.08,1,76.0
p_out_129,inf_003,Order,0.08,1,52.0
p_out_130,inf_003,Order,0.08,1,76.0
p_out_131,inf_003,Order,0.08,1,144.0
p_out_132,inf_003,Order,0.08,1,52.0
p_out_133,inf_003,Order,0.08,1,144.0
p_out_134,inf_003,Order,0.08,1,76.0
p_out_135,inf_003,Order,0.08,1,64.0
p_out_136,inf_003,Order,0.08,1,144.0
p_out_137,inf_003,Order,0.08,1,52.0
p_out_138,inf_003,Order,0.08,1,64.0
p_out_139,inf_003,Order,0.08,1,144.0
p_out_140,inf_003,Order,0.08,1,52.0
p_out_141,inf_003,Order,0.08,1,76.0
p_out_142,inf_003,Order,0.08,1,52.0
p_out_143,inf_003,Order,0.08,1,64.0
p_out_144,inf_003,Order,0.08,1,52.0
p_out_145,inf_003,Order,0.08,1,144.0
p_out_146,inf_003,Order,0.08,1,64.0
p_out_147,inf_003,Order,0.08,1,76.0
p_out_148,inf_003,Order,0.08,1,76.0
p_out_149,inf_003,Order,0.08,1,144.0
p_out_150,inf_003,Order,0.08,1,144.0
p_out_151,inf_003,Order,0.08,1,52.0
p_out_152,inf_003,Order,0.08,1,52.0
p_out_153,inf_003,Order,0.08,1,76.0
p_out_154,inf_003,Order,0.08,1,72.0
p_out_155,inf_003,Order,0.08,1,72.0
p_out_156,inf_003,Order,0.08,1,36.0
p_out_157,inf_003,Order,0.08,1,36.0
p_out_158,inf_003,Order,0.08,1,28.0
p_out_159,inf_003,Order,0.08,1,28.0
p_out_160,inf_003,Order,0.08,1,28.0
p_out_161,inf_003,Order,0.08,1,72.0
p_out_162,inf_003,Order,0.08,1,72.0
p_out_163,inf_003,Order,0.08,1,28.0
p_out_164,inf_003,Order,0.08,1,28.0
p_out_165,inf_003,Order,0.08,1,28.0
p_out_166,inf_003,Order,0.08,1,72.0
p_out_167,inf_003,Order,0.08,1,36.0
p_out_168,inf_003,Order,0.08,1,72.0
p_out_169,inf_003,Order,0.08,1,36.0
p_out_170,inf_003,Order,0.08,1,36.0
p_out_171,inf_003,Order,0.08,1,72.0
p_out_172,inf_003,Order,0.08,1,28.0
p_out_173,inf_003,Order,0.08,1,72.0
p_out_174,inf_003,Order,0.08,1,36.0
p_out_175,inf_003,Order,0.08,1,36.0
p_out_176,inf_003,Order,0.08,1,72.0
p_out_177,inf_003,Order,0.08,1,28.0
p_out_178,inf_003,Order,0.08,1,72.0
p_out_179,inf_003,Order,0.08,1,28.0
p_out_180,inf_003,Order,0.08,1,28.0
p_out_181,inf_003,Order,0.08,1,28.0
p_out_182,inf_003,Order,0.08,1,72.0
p_out_183,inf_003,Order,0.08,1,72.0
p_out_184,inf_003,Order,0.08,1,72.0
p_out_185,inf_003,Order,0.08,1,72.0
p_out_186,inf_003,Order,0.08,1,36.0
p_out_187,inf_003,Order,0.08,1,72.0
p_out_188,inf_003,Order,0.08,1,36.0
p_out_189,inf_003,Order,0.08,1,72.0
p_out_190,inf_003,Order,0.08,1,36.0
p_out_191,inf_003,Order,0.08,1,36.0
p_out_192,inf_003,Order,0.08,1,36.0
p_out_193,inf_003,Order,0.08,1,36.0
p_out_194,inf_003,Order,0.08,1,28.0
p_out_195,inf_003,Order,0.08,1,72.0
p_out_196,inf_003,Order,0.08,1,28.0
p_out_197,inf_003,Order,0.08,1,28.0
p_out_198,inf_003,Order,0.08,1,28.0
p_out_199,inf_003,Order,0.08,1,28.0
p_out_200,inf_003,Order,0.08,1,72.0
p_out_201,inf_003,Order,0.08,1,28.0
p_out_202,inf_003,Order,0.08,1,36.0
p_out_203,inf_003,Order,0.08,1,28.0
p_out_204,inf_003,Order,0.08,1,72.0
p_out_205,inf_003,Order,0.08,1,72.0
p_out_206,inf_003,Order,0.08,1,72.0
p_out_207,inf_003,Order,0.08,1,28.0
p_out_208,inf_003,Order,0.08,1,36.0
p_out_209,inf_004,Order,0.08,1,64.0
p_out_210,inf_004,Order,0.08,1,64.0
p_out_211,inf_004,Order,0.08,1,76.0
p_out_212,inf_004,Order,0.08,1,52.0
p_out_213,inf_004,Order,0.08,1,52.0
p_out_214,inf_004,Order,0.08,1,64.0
p_out_215,inf_004,Order,0.08,1,52.0
p_out_216,inf_004,Order,0.08,1,64.0
p_out_217,inf_004,Order,0.08,1,76.0
p_out_218,inf_004,Order,0.08,1,52.0
p_out_219,inf_004,Order,0.08,1,144.0
p_out_220,inf_004,Order,0.08,1,144.0
p_out_221,inf_004,Order,0.08,1,76.0
p_out_222,inf_004,Order,0.08,1,76.0
p_out_223,inf_004,Order,0.08,1,64.0
p_out_224,inf_004,Order,0.08,1,52.0
p_out_225,inf_004,Order,0.08,1,52.0
p_out_226,inf_004,Order,0.08,1,52.0
p_out_227,inf_004,Order,0.08,1,144.0
p_out_228,inf_004,Order,0.08,1,52.0
p_out_229,inf_004,Order,0.08,1,52.0
p_out_230,inf_004,Order,0.08,1,52.0
p_out_231,inf_004,Order,0.08,1,64.0
p_out_232,inf_004,Order,0.08,1,52.0
p_out_233,inf_004,Order,0.08,1,76.0
p_out_234,inf_004,Order,0.08,1,144.0
p_out_235,inf_004,Order,0.08,1,144.0
p_out_236,inf_004,Order,0.08,1,52.0
p_out_237,inf_004,Order,0.08,1,144.0
p_out_238,inf_004,Order,0.08,1,144.0
p_out_239,inf_004,Order,0.08,1,64.0
p_out_240,inf_004,Order,0.08,1,76.0
p_out_241,inf_004,Order,0.08,1,64.0
p_out_242,inf_004,Order,0.08,1,76.0
p_out_243,inf_004,Order,0.08,1,52.0
p_out_244,inf_004,Order,0.08,1,52.0
p_out_245,inf_004,Order,0.08,1,52.0
p_out_246,inf_004,Order,0.08,1,64.0
p_out_247,inf_004,Order,0.08,1,76.0
p_out_248,inf_004,Order,0.08,1,64.0
p_out_249,inf_004,Order,0.08,1,76.0
p_out_250,inf_004,Order,0.08,1,144.0
p_out_251,inf_004,Order,0.08,1,64.0
p_out_252,inf_004,Order,0.08,1,64.0
p_out_253,inf_004,Order,0.08,1,144.0
p_out_254,inf_004,Order,0.08,1,52.0
p_out_255,inf_004,Order,0.08,1,64.0
p_out_256,inf_004,Order,0.08,1,64.0
p_out_257,inf_004,Order,0.08,1,76.0
p_out_258,inf_004,Order,0.08,1,144.0
p_out_259,inf_004,Order,0.08,1,76.0
p_out_260,inf_004,Order,0.08,1,52.0
p_out_261,inf_004,Order,0.08,1,76.0
p_out_262,inf_004,Order,0.08,1,76.0
p_out_263,inf_004,Order,0.08,1,76.0
p_out_264,inf_004,Order,0.08,1,76.0
p_out_265,inf_004,Order,0.08,1,52.0
p_out_266,inf_004,Order,0.08,1,144.0
p_out_267,inf_004,Order,0.08,1,76.0
p_out_268,inf_004,Order,0.08,1,144.0
p_out_269,inf_004,Order,0.08,1,64.0
p_out_270,inf_004,Order,0.08,1,64.0
p_out_271,inf_004,Order,0.08,1,144.0
p_out_272,inf_004,Order,0.08,1,76.0
p_out_273,inf_004,Order,0.08,1,76.0
p_out_274,inf_004,Order,0.08,1,76.0
p_out_275,inf_004,Order,0.08,1,76.0
p_out_276,inf_004,Order,0.08,1,76.0
p_out_277,inf_004,Order,0.08,1,52.0
p_out_278,inf_004,Order,0.08,1,64.0
p_out_279,inf_004,Order,0.08,1,64.0
p_out_280,inf_004,Order,0.08,1,76.0
p_out_281,inf_004,Order,0.08,1,52.0
p_out_282,inf_004,Order,0.08,1,76.0
p_out_283,inf_004,Order,0.08,1,144.0
p_out_284,inf_004,Order,0.08,1,64.0
p_out_285,inf_004,Order,0.08,1,64.0
p_out_286,inf_004,Order,0.08,1,64.0
p_out_287,inf_004,Order,0.08,1,64.0
p_out_288,inf_004,Order,0.08,1,52.0
p_out_289,inf_004,Order,0.08,1,144.0
p_out_290,inf_004,Order,0.08,1,144.0
p_out_291,inf_004,Order,0.08,1,52.0
p_out_292,inf_004,Order,0.08,1,64.0
p_out_293,inf_004,Order,0.08,1,52.0
p_out_294,inf_004,Order,0.08,1,76.0
p_out_295,inf_004,Order,0.08,1,64.0
p_out_296,inf_004,Order,0.08,1,64.0
p_out_297,inf_004,Order,0.08,1,52.0
p_out_298,inf_004,Order,0.08,1,52.0
p_out_299,inf_004,Order,0.08,1,144.0
p_out_300,inf_004,Order,0.08,1,64.0
p_out_301,inf_004,Order,0.08,1,64.0
p_out_302,inf_004,Order,0.08,1,76.0
p_out_303,inf_004,Order,0.08,1,64.0
p_out_304,inf_004,Order,0.08,1,52.0
p_out_305,inf_004,Order,0.08,1,76.0
p_out_306,inf_004,Order,0.08,1,64.0
p_out_307,inf_004,Order,0.08,1,64.0
p_out_308,inf_004,Order,0.08,1,76.0
p_out_309,inf_004,Order,0.08,1,76.0
p_out_310,inf_004,Order,0.08,1,64.0
p_out_311,inf_004,Order,0.08,1,76.0
p_out_312,inf_004,Order,0.08,1,76.0
p_out_313,inf_004,Order,0.08,1,52.0
p_out_314,inf_004,Order,0.08,1,144.0
p_out_315,inf_004,Order,0.08,1,76.0
p_out_316,inf_004,Order,0.08,1,64.0
p_out_317,inf_004,Order,0.08,1,76.0
p_out_318,inf_004,Order,0.08,1,76.0
p_out_319,inf_004,Order,0.08,1,52.0
p_out_320,inf_004,Order,0.08,1,76.0
p_out_321,inf_004,Order,0.08,1,76.0
p_out_322,inf_004,Order,0.08,1,64.0
p_out_323,inf_004,Order,0.08,1,52.0
p_out_324,inf_004,Order,0.08,1,64.0
p_out_325,inf_004,Order,0.08,1,76.0
p_out_326,inf_004,Order,0.08,1,144.0
p_out_327,inf_004,Order,0.08,1,52.0
p_out_328,inf_004,Order,0.08,1,76.0
p_out_329,inf_004,Order,0.08,1,144.0
p_out_330,inf_004,Order,0.08,1,144.0
p_out_331,inf_004,Order,0.08,1,52.0
p_out_332,inf_004,Order,0.08,1,64.0
p_out_333,inf_004,Order,0.08,1,52.0
p_out_334,inf_004,Order,0.08,1,76.0
p_out_335,inf_004,Order,0.08,1,144.0
p_out_336,inf_004,Order,0.08,1,76.0
p_out_337,inf_004,Order,0.08,1,52.0
p_out_338,inf_004,Order,0.08,1,52.0
p_out_339,inf_004,Order,0.08,1,52.0
p_out_340,inf_004,Order,0.08,1,76.0
p_out_341,inf_004,Order,0.08,1,76.0
p_out_342,inf_004,Order,0.08,1,76.0
p_out_343,inf_004,Order,0.08,1,144.0
p_out_344,inf_004,Order,0.08,1,76.0
p_out_345,inf_004,Order,0.08,1,76.0
p_out_346,inf_004,Order,0.08,1,64.0
p_out_347,inf_004,Order,0.08,1,52.0
p_out_348,inf_004,Order,0.08,1,76.0
p_out_349,inf_004,Order,0.08,1,64.0
p_out_350,inf_004,Order,0.08,1,64.0
p_out_351,inf_004,Order,0.08,1,76.0
p_out_352,inf_004,Order,0.08,1,52.0
p_out_353,inf_004,Order,0.08,1,76.0
p_out_354,inf_004,Order,0.08,1,52.0
p_out_355,inf_004,Order,0.08,1,144.0
p_out_356,inf_004,Order,0.08,1,144.0
p_out_357,inf_004,Order,0.08,1,76.0
p_out_358,inf_004,Order,0.08,1,64.0
p_out_359,inf_004,Order,0.08,1,144.0
p_out_360,inf_004,Order,0.08,1,144.0
p_out_361,inf_004,Order,0.08,1,64.0
p_out_362,inf_004,Order,0.08,1,144.0
p_out_363,inf_004,Order,0.08,1,76.0
p_out_364,inf_004,Order,0.08,1,144.0
p_out_365,inf_004,Order,0.08,1,52.0
p_out_366,inf_004,Order,0.08,1,76.0
p_out_367,inf_004,Order,0.08,1,64.0
p_out_368,inf_004,Order,0.08,1,64.0
p_out_369,inf_004,Order,0.08,1,76.0
p_out_370,inf_004,Order,0.08,1,76.0
p_out_371,inf_004,Order,0.08,1,52.0
p_out_372,inf_004,Order,0.08,1,52.0
p_out_373,inf_004,Order,0.08,1,52.0
p_out_374,inf_004,Order,0.08,1,52.0
p_out_375,inf_004,Order,0.08,1,144.0
p_out_376,inf_004,Order,0.08,1,144.0
p_out_377,inf_004,Order,0.08,1,52.0
p_out_378,inf_004,Order,0.08,1,144.0
p_out_379,inf_004,Order,0.08,1,64.0
p_out_380,inf_004,Order,0.08,1,144.0
p_out_381,inf_004,Order,0.08,1,52.0
p_out_382,inf_004,Order,0.08,1,52.0
p_out_383,inf_004,Order,0.08,1,64.0
p_out_384,inf_004,Order,0.08,1,144.0
p_out_385,inf_004,Order,0.08,1,52.0
p_out_386,inf_004,Order,0.08,1,144.0
p_out_387,inf_004,Order,0.08,1,64.0
p_out_388,inf_004,Order,0.08,1,144.0
p_out_389,inf_004,Order,0.08,1,64.0
p_out_390,inf_004,Order,0.08,1,52.0
p_out_391,inf_004,Order,0.08,1,76.0
p_out_392,inf_004,Order,0.08,1,144.0
p_out_393,inf_004,Order,0.08,1,76.0
p_out_394,inf_004,Order,0.08,1,144.0
p_out_395,inf_004,Order,0.08,1,76.0
p_out_396,inf_004,Order,0.08,1,52.0
p_out_397,inf_004,Order,0.08,1,64.0
p_out_398,inf_004,Order,0.08,1,76.0
p_out_399,inf_004,Order,0.08,1,144.0
p_out_400,inf_004,Order,0.08,1,76.0
p_out_401,inf_004,Order,0.08,1,52.0
p_out_402,inf_004,Order,0.08,1,52.0
p_out_403,inf_004,Order,0.08,1,144.0
p_out_404,inf_004,Order,0.08,1,76.0
p_out_405,inf_004,Order,0.08,1,76.0
p_out_406,inf_004,Order,0.08,1,76.0
p_out_407,inf_004,Order,0.08,1,52.0
p_out_408,inf_004,Order,0.08,1,52.0
p_out_409,inf_004,Order,0.08,1,52.0
p_out_410,inf_004,Order,0.08,1,64.0
p_out_411,inf_004,Order,0.08,1,144.0
p_out_412,inf_004,Order,0.08,1,76.0
p_out_413,inf_004,Order,0.08,1,64.0
p_out_414,inf_004,Order,0.08,1,64.0
p_out_415,inf_004,Order,0.08,1,144.0
p_out_416,inf_004,Order,0.08,1,144.0
p_out_417,inf_004,Order,0.08,1,144.0
p_out_418,inf_004,Order,0.08,1,144.0
p_out_419,inf_004,Order,0.08,1,52.0
p_out_420,inf_004,Order,0.08,1,52.0
p_out_421,inf_004,Order,0.08,1,52.0
p_out_422,inf_004,Order,0.08,1,144.0
p_out_423,inf_004,Order,0.08,1,144.0
p_out_424,inf_004,Order,0.08,1,64.0
p_out_425,inf_004,Order,0.08,1,144.0
p_out_426,inf_004,Order,0.08,1,52.0
p_out_427,inf_004,Order,0.08,1,76.0
p_out_428,inf_004,Order,0.08,1,64.0
p_out_429,inf_004,Order,0.08,1,144.0
p_out_430,inf_004,Order,0.08,1,144.0
p_out_431,inf_004,Order,0.08,1,52.0
p_out_432,inf_004,Order,0.08,1,76.0
p_out_433,inf_004,Order,0.08,1,52.0
p_out_434,inf_004,Order,0.08,1,144.0
p_out_435,inf_004,Order,0.08,1,52.0
p_out_436,inf_004,Order,0.08,1,64.0
p_out_437,inf_004,Order,0.08,1,64.0
p_out_438,inf_004,Order,0.08,1,52.0
p_out_439,inf_004,Order,0.08,1,64.0
p_out_440,inf_004,Order,0.08,1,76.0
p_out_441,inf_004,Order,0.08,1,144.0
p_out_442,inf_004,Order,0.08,1,52.0
p_out_443,inf_004,Order,0.08,1,64.0
p_out_444,inf_004,Order,0.08,1,52.0
p_out_445,inf_004,Order,0.08,1,64.0
p_out_446,inf_004,Order,0.08,1,144.0
p_out_447,inf_004,Order,0.08,1,64.0
p_out_448,inf_004,Order,0.08,1,76.0
p_out_449,inf_004,Order,0.08,1,52.0
p_out_450,inf_004,Order,0.08,1,64.0
p_out_451,inf_004,Order,0.08,1,52.0
p_out_452,inf_004,Order,0.08,1,144.0
p_out_453,inf_004,Order,0.08,1,76.0
p_out_454,inf_004,Order,0.08,1,144.0
p_out_455,inf_004,Order,0.08,1,76.0
p_out_456,inf_004,Order,0.08,1,52.0
p_out_457,inf_004,Order,0.08,1,52.0
p_out_458,inf_004,Order,0.08,1,64.0
p_out_459,inf_004,Order,0.08,1,76.0
p_out_460,inf_004,Order,0.08,1,76.0
p_out_461,inf_004,Order,0.08,1,64.0
p_out_462,inf_004,Order,0.08,1,144.0
p_out_463,inf_004,Order,0.08,1,76.0
p_out_464,inf_004,Order,0.08,1,52.0
p_out_465,inf_004,Order,0.08,1,76.0
p_out_466,inf_004,Order,0.08,1,52.0
p_out_467,inf_004,Order,0.08,1,64.0
p_out_468,inf_004,Order,0.08,1,64.0
p_out_469,inf_004,Order,0.08,1,144.0
p_out_470,inf_004,Order,0.08,1,52.0
p_out_471,inf_004,Order,0.08,1,52.0
p_out_472,inf_004,Order,0.08,1,144.0
p_out_473,inf_004,Order,0.08,1,52.0
p_out_474,inf_004,Order,0.08,1,52.0
p_out_475,inf_004,Order,0.08,1,64.0
p_out_476,inf_004,Order,0.08,1,64.0
p_out_477,inf_004,Order,0.08,1,52.0
p_out_478,inf_004,Order,0.08,1,76.0
p_out_479,inf_004,Order,0.08,1,52.0
p_out_480,inf_004,Order,0.08,1,52.0
p_out_481,inf_004,Order,0.08,1,76.0
p_out_482,inf_004,Order,0.08,1,76.0
p_out_483,inf_004,Order,0.08,1,76.0
p_out_484,inf_004,Order,0.08,1,144.0
p_out_485,inf_004,Order,0.08,1,64.0
p_out_486,inf_004,Order,0.08,1,52.0
p_out_487,inf_004,Order,0.08,1,64.0
p_out_488,inf_004,Order,0.08,1,76.0
p_out_489,inf_004,Order,0.08,1,64.0
p_out_490,inf_004,Order,0.08,1,52.0
p_out_491,inf_004,Order,0.08,1,76.0
p_out_492,inf_004,Order,0.08,1,76.0
p_out_493,inf_004,Order,0.08,1,52.0
p_out_494,inf_004,Order,0.08,1,76.0
p_out_495,inf_004,Order,0.08,1,144.0
p_out_496,inf_004,Order,0.08,1,52.0
p_out_497,inf_004,Order,0.08,1,52.0
p_out_498,inf_004,Order,0.08,1,144.0
p_out_499,inf_004,Order,0.08,1,52.0
p_out_500,inf_004,Order,0.08,1,64.0
p_out_501,inf_004,Order,0.08,1,144.0
p_out_502,inf_004,Order,0.08,1,144.0
p_out_503,inf_004,Order,0.08,1,76.0
p_out_504,inf_004,Order,0.08,1,64.0
p_out_505,inf_004,Order,0.08,1,76.0
p_out_506,inf_004,Order,0.08,1,144.0
p_out_507,inf_004,Order,0.08,1,64.0
p_out_508,inf_004,Order,0.08,1,64.0
p_out_509,inf_004,Order,0.08,1,64.0
p_out_510,inf_004,Order,0.08,1,76.0
p_out_511,inf_004,Order,0.08,1,52.0
p_out_512,inf_004,Order,0.08,1,64.0
p_out_513,inf_004,Order,0.08,1,64.0
p_out_514,inf_004,Order,0.08,1,64.0
p_out_515,inf_004,Order,0.08,1,52.0
p_out_516,inf_004,Order,0.08,1,76.0
p_out_517,inf_004,Order,0.08,1,76.0
p_out_518,inf_004,Order,0.08,1,52.0
p_out_519,inf_004,Order,0.08,1,64.0
p_out_520,inf_004,Order,0.08,1,52.0
p_out_521,inf_004,Order,0.08,1,76.0
p_out_522,inf_004,Order,0.08,1,52.0
p_out_523,inf_004,Order,0.08,1,64.0
p_out_524,inf_004,Order,0.08,1,64.0
p_out_525,inf_004,Order,0.08,1,64.0
p_out_526,inf_004,Order,0.08,1,144.0
p_out_527,inf_004,Order,0.08,1,52.0
p_out_528,inf_004,Order,0.08,1,76.0
p_out_529,inf_004,Order,0.08,1,64.0
p_out_530,inf_004,Order,0.08,1,52.0
p_out_531,inf_004,Order,0.08,1,76.0
p_out_532,inf_004,Order,0.08,1,76.0
p_out_533,inf_004,Order,0.08,1,76.0
p_out_534,inf_004,Order,0.08,1,52.0
p_out_535,inf_004,Order,0.08,1,52.0
p_out_536,inf_004,Order,0.08,1,64.0
p_out_537,inf_004,Order,0.08,1,76.0
p_out_538,inf_004,Order,0.08,1,144.0
p_out_539,inf_004,Order,0.08,1,304.0
p_out_540,inf_004,Order,0.08,1,72.0
p_out_541,inf_004,Order,0.08,1,96.0
p_out_542,inf_004,Order,0.08,1,120.0
p_out_543,inf_004,Order,0.08,1,96.0
p_out_544,inf_004,Order,0.08,1,72.0
p_out_545,inf_004,Order,0.08,1,120.0
p_out_546,inf_004,Order,0.08,1,96.0
p_out_547,inf_004,Order,0.08,1,120.0
p_out_548,inf_004,Order,0.08,1,120.0
p_out_549,inf_004,Order,0.08,1,304.0
p_out_550,inf_004,Order,0.08,1,72.0
p_out_551,inf_004,Order,0.08,1,120.0
p_out_552,inf_004,Order,0.08,1,304.0
p_out_553,inf_004,Order,0.08,1,72.0
p_out_554,inf_004,Order,0.08,1,120.0
p_out_555,inf_004,Order,0.08,1,120.0
p_out_556,inf_004,Order,0.08,1,72.0
p_out_557,inf_004,Order,0.08,1,72.0
p_out_558,inf_004,Order,0.08,1,72.0
p_out_559,inf_004,Order,0.08,1,72.0
p_out_560,inf_004,Order,0.08,1,72.0
p_out_561,inf_004,Order,0.08,1,304.0
p_out_562,inf_004,Order,0.08,1,304.0
p_out_563,inf_004,Order,0.08,1,96.0
p_out_564,inf_004,Order,0.08,1,304.0
p_out_565,inf_004,Order,0.08,1,120.0
p_out_566,inf_004,Order,0.08,1,96.0
p_out_567,inf_004,Order,0.08,1,120.0
p_out_568,inf_004,Order,0.08,1,96.0
p_out_569,inf_004,Order,0.08,1,72.0
p_out_570,inf_004,Order,0.08,1,96.0
p_out_571,inf_004,Order,0.08,1,72.0
p_out_572,inf_004,Order,0.08,1,96.0
p_out_573,inf_004,Order,0.08,1,72.0
p_out_574,inf_004,Order,0.08,1,72.0
p_out_575,inf_004,Order,0.08,1,96.0
p_out_576,inf_004,Order,0.08,1,120.0
p_out_577,inf_004,Order,0.08,1,120.0
p_out_578,inf_004,Order,0.08,1,120.0
p_out_579,inf_004,Order,0.08,1,120.0
p_out_580,inf_004,Order,0.08,1,96.0
